Batch Id;Vaccine Id;Serial Number;Centre Id;Manufactured Date;Expired Date;Added Date;Status
1234;PFI;1234;BUK;12/23/2021;12/23/2021;12/23/2021;Not Used
1234;PFI;1234;BUK;12/23/2021;12/23/2021;12/23/2021;Used
DAFSDYROW;BEY;BEY80496588;BUK;29/11/2021;29/01/2022;02/12/2021;Used
DAFSDYROW;BEY;BEY68625050;BUK;29/11/2021;29/01/2022;02/12/2021;Not Used
DAFSDYROW;BEY;BEY18776963;BUK;29/11/2021;29/01/2022;02/12/2021;Not Used
DAFSDYROW;BEY;BEY55582338;BUK;29/11/2021;29/01/2022;02/12/2021;Not Used
DAFSDYROW;BEY;BEY71096321;BUK;29/11/2021;29/01/2022;02/12/2021;Not Used
DAFSDYROW;BEY;BEY95072112;BUK;29/11/2021;29/01/2022;02/12/2021;Not Used
DAFSDYROW;BEY;BEY47088478;BUK;29/11/2021;29/01/2022;02/12/2021;Not Used
DAFSDYROW;BEY;BEY02881785;BUK;29/11/2021;29/01/2022;02/12/2021;Not Used
DAFSDYROW;BEY;BEY62849410;BUK;29/11/2021;29/01/2022;02/12/2021;Used
DAFSDYROW;BEY;BEY23799052;BUK;29/11/2021;29/01/2022;02/12/2021;Not Used
DAFSDYROW;BEY;BEY37670228;BUK;29/11/2021;29/01/2022;02/12/2021;Not Used
DAFSDYROW;BEY;BEY32303936;BUK;29/11/2021;29/01/2022;02/12/2021;Not Used
DAFSDYROW;BEY;BEY35851799;BUK;29/11/2021;29/01/2022;02/12/2021;Not Used
DAFSDYROW;BEY;BEY06459400;BUK;29/11/2021;29/01/2022;02/12/2021;Not Used
DAFSDYROW;BEY;BEY13263022;BUK;29/11/2021;29/01/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN63611483;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN54664471;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN45245337;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN58927507;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN94078835;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN70140026;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN19658501;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN51779597;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN52692527;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN43524689;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN19093484;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN09278994;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN68458171;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN04412300;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN58307440;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN52111232;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN93076705;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN00939989;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN83488096;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN71764329;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN34280456;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN22860405;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
ASDF12345;SIN;SIN66434509;SUN;29/11/2021;29/05/2022;02/12/2021;Not Used
